year DOY HR MN      v     d      beta     ma 
2018  72  0  0 99999.9 999.99 999.99 999.9
2018  72  0  1 99999.9 999.99 999.99 999.9
2018  72  0  2   351.3   6.29   2.51  10.2
2018  72  0  3   351.0   6.27   2.51  10.2
2018  72  0  4   349.4   6.16   2.49  10.0
2018  72  0  5   351.0   6.21   2.42  10.2
2018  72  0  6   352.0   6.23   2.41  10.2
2018  72  0  7 99999.9 999.99 999.99 999.9
2018  72  0  8   349.9   6.27   2.55  10.2
2018  72  0  9   352.0   6.26   2.36  10.1
2018  72  0 10   353.1   6.26   2.32  10.2
2018  72  0 11 99999.9 999.99 999.99 999.9
2018  72  0 12   352.4   6.22   2.30  10.1
2018  72  0 13   350.7   5.85   2.18   9.7
2018  72  0 14   349.4   5.55   2.11   9.5
2018  72  0 15 99999.9 999.99 999.99 999.9
2018  72  0 16   350.8   6.28   2.29  10.1
2018  72  0 17   350.8   6.28   2.27  10.0
2018  72  0 18 99999.9 999.99 999.99 999.9
2018  72  0 19   351.0   6.25   2.25  10.0
2018  72  0 20   350.2   5.97   2.13   9.7
2018  72  0 21   349.1   5.87   2.20   9.7
2018  72  0 22   349.5   6.16   2.20   9.7
2018  72  0 23   349.6   5.99   2.04   9.5
2018  72  0 24   350.6   6.19   2.11   9.7
2018  72  0 25   350.5   6.21   2.16   9.7
2018  72  0 26   350.0   5.92   2.06   9.6
2018  72  0 27   349.7   5.71   1.95   9.3
2018  72  0 28   349.6   5.37   1.99   9.3
2018  72  0 29   349.6   5.37   2.03   9.4
2018  72  0 30   350.9   6.09   2.19   9.9
2018  72  0 31   350.9   6.09   2.18   9.8
2018  72  0 32 99999.9 999.99 999.99 999.9
2018  72  0 33 99999.9 999.99 999.99 999.9
2018  72  0 34   350.3   6.16   2.18   9.8
2018  72  0 35   350.8   5.89   2.11   9.6
2018  72  0 36   351.3   5.58   2.07   9.4
2018  72  0 37   351.5   5.58   2.00   9.5
2018  72  0 38   351.4   5.83   2.09   9.7
2018  72  0 39   351.3   6.14   2.21   9.9
2018  72  0 40 99999.9 999.99 999.99 999.9
2018  72  0 41   349.6   5.61   1.96   9.4
2018  72  0 42   349.6   5.61   2.02   9.5
2018  72  0 43 99999.9 999.99 999.99 999.9
2018  72  0 44 99999.9 999.99 999.99 999.9
2018  72  0 45 99999.9 999.99 999.99 999.9
2018  72  0 46   350.7   5.94   2.42  10.0
2018  72  0 47   350.7   5.94   2.41   9.9
2018  72  0 48 99999.9 999.99 999.99 999.9
2018  72  0 49 99999.9 999.99 999.99 999.9
2018  72  0 50   350.6   5.85   2.31   9.8
2018  72  0 51   350.8   5.87   2.17   9.7
2018  72  0 52   351.3   5.82   2.13   9.6
2018  72  0 53   350.9   5.84   2.03   9.4
2018  72  0 54   351.4   6.02   2.08   9.6
2018  72  0 55   350.8   6.07   2.09   9.6
2018  72  0 56   347.4   5.58   1.94   9.1
2018  72  0 57   350.5   6.03   2.10   9.6
2018  72  0 58   350.2   6.08   2.12   9.6
2018  72  0 59   350.7   6.12   2.18   9.8
2018  72  1  0   350.1   6.14   2.22   9.9
2018  72  1  1   349.7   6.09   2.21   9.8
2018  72  1  2   349.2   5.82   2.20   9.5
2018  72  1  3   349.2   5.68   2.05   9.4
2018  72  1  4   349.2   5.60   1.97   9.4
2018  72  1  5   349.0   5.69   2.00   9.4
2018  72  1  6   348.9   5.90   2.08   9.6
2018  72  1  7   349.2   5.61   1.99   9.4
2018  72  1  8   349.7   5.84   2.07   9.6
2018  72  1  9   349.8   5.80   2.09   9.6
2018  72  1 10   350.8   5.81   2.16   9.8
2018  72  1 11   351.1   5.92   2.23   9.9
2018  72  1 12   350.2   5.71   2.23   9.8
2018  72  1 13   350.4   5.71   2.22   9.8
2018  72  1 14   351.1   5.73   2.12   9.6
2018  72  1 15   351.1   5.73   2.10   9.6
2018  72  1 16 99999.9 999.99 999.99 999.9
2018  72  1 17 99999.9 999.99 999.99 999.9
2018  72  1 18   350.2   6.34   2.55  10.4
2018  72  1 19   350.2   6.34   2.62  10.6
2018  72  1 20   349.4   5.93   2.31   9.9
2018  72  1 21   350.0   5.96   2.27   9.9
2018  72  1 22   350.0   5.94   2.52  10.5
2018  72  1 23 99999.9 999.99 999.99 999.9
2018  72  1 24   349.2   6.49   2.66  10.7
2018  72  1 25   349.2   6.49   2.73  10.8
2018  72  1 26   348.8   5.64   2.08   9.8
2018  72  1 27   348.8   5.65   2.10   9.8
2018  72  1 28   349.9   6.06   2.53  10.4
2018  72  1 29   350.5   6.02   2.33  10.0
2018  72  1 30   349.1   5.95   2.16   9.9
2018  72  1 31   348.7   5.83   2.03   9.5
2018  72  1 32   346.8   5.37   1.96   9.1
2018  72  1 33   346.7   5.33   1.95   9.1
2018  72  1 34 99999.9 999.99 999.99 999.9
2018  72  1 35   347.8   5.92   2.06   9.7
2018  72  1 36   348.1   5.87   2.10   9.7
2018  72  1 37   349.0   5.62   2.02   9.5
2018  72  1 38   349.2   5.57   1.99   9.4
2018  72  1 39   348.8   5.37   1.84   9.2
2018  72  1 40   348.8   5.37   1.84   9.2
2018  72  1 41   348.8   5.37   1.84   9.2
2018  72  1 42   347.5   5.44   1.87   9.2
2018  72  1 43   347.5   5.44   1.86   9.2
2018  72  1 44   347.7   5.44   1.87   9.2
2018  72  1 45   347.8   5.44   1.85   9.2
2018  72  1 46   347.9   5.47   1.89   9.3
2018  72  1 47   348.1   5.55   1.92   9.3
2018  72  1 48   348.3   5.56   1.94   9.4
2018  72  1 49   348.3   5.84   2.27   9.7
2018  72  1 50   347.9   5.69   2.14   9.6
2018  72  1 51   347.5   5.42   2.02   9.5
2018  72  1 52 99999.9 999.99 999.99 999.9
2018  72  1 53 99999.9 999.99 999.99 999.9
2018  72  1 54   350.2   6.20   2.53  10.7
2018  72  1 55   349.7   6.08   2.56  10.7
2018  72  1 56   349.0   6.39   2.96  10.9
2018  72  1 57   349.0   6.39   2.86  10.7
2018  72  1 58   349.9   6.22   2.61  10.8
2018  72  1 59   349.9   6.22   2.57  10.7
2018  72  2  0   348.8   6.16   2.73  10.8
2018  72  2  1   348.8   6.19   2.95  11.2
2018  72  2  2   350.2   6.31   3.08  11.4
2018  72  2  3   350.4   6.26   2.98  11.3
2018  72  2  4   350.7   6.25   2.92  11.2
2018  72  2  5   349.7   6.27   2.92  11.2
2018  72  2  6   349.7   6.27   2.96  11.3
2018  72  2  7   349.3   6.22   3.04  11.3
2018  72  2  8   349.3   6.22   2.98  11.2
2018  72  2  9 99999.9 999.99 999.99 999.9
2018  72  2 10   348.9   6.17   2.99  11.3
2018  72  2 11   348.9   6.17   3.01  11.3
2018  72  2 12   348.9   6.17   2.99  11.3
2018  72  2 13 99999.9 999.99 999.99 999.9
2018  72  2 14   348.6   6.19   2.98  11.2
2018  72  2 15   348.6   6.19   2.93  11.1
2018  72  2 16 99999.9 999.99 999.99 999.9
2018  72  2 17 99999.9 999.99 999.99 999.9
2018  72  2 18 99999.9 999.99 999.99 999.9
2018  72  2 19   350.0   6.07   2.73  10.8
2018  72  2 20   350.0   6.07   2.72  10.8
2018  72  2 21   350.0   6.07   2.72  10.8
2018  72  2 22   349.6   5.97   2.48  10.7
2018  72  2 23   349.6   5.96   2.53  10.7
2018  72  2 24   349.4   5.81   2.59  10.6
2018  72  2 25   349.1   5.79   2.63  10.8
2018  72  2 26   351.4   6.43   3.29  12.0
2018  72  2 27   351.4   6.44   3.41  12.2
2018  72  2 28 99999.9 999.99 999.99 999.9
2018  72  2 29   351.6   6.46   3.35  12.2
2018  72  2 30   351.6   6.46   3.32  12.2
2018  72  2 31 99999.9 999.99 999.99 999.9
2018  72  2 32   352.5   6.66   3.63  12.7
2018  72  2 33   352.5   6.66   3.43  12.4
2018  72  2 34   351.2   6.32   3.26  12.0
2018  72  2 35   351.2   6.32   3.26  12.0
2018  72  2 36   351.2   6.32   3.27  12.1
2018  72  2 37   351.4   6.49   3.28  12.2
2018  72  2 38   351.4   6.47   3.32  12.3
2018  72  2 39   351.6   6.40   3.27  12.3
2018  72  2 40 99999.9 999.99 999.99 999.9
2018  72  2 41   351.4   6.67   3.69  13.0
2018  72  2 42   351.4   6.67   3.82  13.2
2018  72  2 43   351.4   6.67   3.78  13.1
2018  72  2 44 99999.9 999.99 999.99 999.9
2018  72  2 45 99999.9 999.99 999.99 999.9
