year DOY HR MN      v     d      beta     ma
2020  80  0  0   493.5   2.58   2.38  13.3
2020  80  0  1   491.9   2.55   2.33  13.3
2020  80  0  2   491.9   2.55   2.27  13.1
2020  80  0  3   492.1   2.65   2.34  13.4
2020  80  0  4   492.3   2.67   2.31  13.3
2020  80  0  5   492.1   2.64   2.33  13.2
2020  80  0  6   492.0   2.64   2.52  13.7
2020  80  0  7   490.9   2.67   2.67  13.9
2020  80  0  8   491.2   2.63   2.55  13.6
2020  80  0  9   491.5   2.62   2.49  13.5
2020  80  0 10   492.4   2.60   2.41  13.5
2020  80  0 11   492.4   2.60   2.57  13.9
2020  80  0 12   497.4   2.94   3.27  15.1
2020  80  0 13   497.4   2.94   3.18  14.9
2020  80  0 14   494.0   2.76   2.74  14.2
2020  80  0 15   494.0   2.76   2.73  14.2
2020  80  0 16 99999.9 999.99 999.99 999.9
2020  80  0 17   493.6   2.86   2.98  14.5
2020  80  0 18   493.6   2.86   3.00  14.6
2020  80  0 19   490.7   2.90   3.01  14.7
2020  80  0 20   490.9   2.85   2.76  14.1
2020  80  0 21   491.4   2.70   2.32  13.4
2020  80  0 22   491.6   2.58   2.07  13.1
2020  80  0 23 99999.9 999.99 999.99 999.9
2020  80  0 24 99999.9 999.99 999.99 999.9
2020  80  0 25 99999.9 999.99 999.99 999.9
2020  80  0 26 99999.9 999.99 999.99 999.9
2020  80  0 27   493.1   2.66   2.25  13.6
2020  80  0 28   493.1   2.66   2.30  13.7
2020  80  0 29   493.1   2.66   2.28  13.7
2020  80  0 30 99999.9 999.99 999.99 999.9
2020  80  0 31 99999.9 999.99 999.99 999.9
2020  80  0 32   494.0   2.61   2.22  13.6
2020  80  0 33   493.9   2.60   2.12  13.2
2020  80  0 34   493.9   2.59   1.99  12.8
2020  80  0 35   492.2   2.47   1.89  12.4
2020  80  0 36   491.6   2.52   2.03  12.8
2020  80  0 37   491.3   2.57   2.08  12.7
2020  80  0 38 99999.9 999.99 999.99 999.9
2020  80  0 39 99999.9 999.99 999.99 999.9
2020  80  0 40   491.7   2.46   1.88  12.6
2020  80  0 41   491.7   2.46   1.88  12.6
2020  80  0 42 99999.9 999.99 999.99 999.9
2020  80  0 43   492.0   2.40   1.77  12.3
2020  80  0 44   492.0   2.40   1.86  12.6
2020  80  0 45   492.0   2.40   1.88  12.7
2020  80  0 46 99999.9 999.99 999.99 999.9
2020  80  0 47   489.2   2.59   2.17  13.3
2020  80  0 48   489.2   2.59   2.13  13.2
2020  80  0 49   489.2   2.59   2.12  13.2
2020  80  0 50 99999.9 999.99 999.99 999.9
2020  80  0 51   487.7   2.51   2.20  13.3
2020  80  0 52   487.7   2.51   2.39  13.9
2020  80  0 53   488.2   2.88   2.90  15.0
2020  80  0 54   488.2   2.90   2.95  15.1
2020  80  0 55   490.6   2.81   2.89  15.0
2020  80  0 56   489.1   2.78   2.75  14.6
2020  80  0 57   488.3   2.77   2.81  14.8
2020  80  0 58 99999.9 999.99 999.99 999.9
2020  80  0 59 99999.9 999.99 999.99 999.9
2020  80  1  0   488.9   2.81   2.94  14.6
2020  80  1  1   489.2   2.79   2.85  14.6
2020  80  1  2   489.9   2.81   2.86  14.6
2020  80  1  3   491.1   2.79   2.79  14.3
2020  80  1  4   489.5   2.64   2.54  14.0
2020  80  1  5   489.4   2.63   2.37  13.5
2020  80  1  6   489.4   2.63   2.38  13.5
2020  80  1  7   488.2   2.54   2.20  13.1
2020  80  1  8   488.2   2.54   2.14  12.9
2020  80  1  9   488.8   2.64   2.24  13.2
2020  80  1 10   488.8   2.64   2.26  13.3
2020  80  1 11   488.8   2.64 999.99 999.9
2020  80  1 12 99999.9 999.99 999.99 999.9
2020  80  1 13 99999.9 999.99 999.99 999.9
2020  80  1 14 99999.9 999.99 999.99 999.9
2020  80  1 15   489.3   2.76   2.31  13.5
2020  80  1 16   489.3   2.76   2.34  13.6
2020  80  1 17   489.4   2.75   2.28  13.5
2020  80  1 18   489.4   2.75   2.30  13.5
2020  80  1 19 99999.9 999.99 999.99 999.9
2020  80  1 20 99999.9 999.99 999.99 999.9
2020  80  1 21 99999.9 999.99 999.99 999.9
2020  80  1 22   489.1   2.72   2.40  13.5
2020  80  1 23   489.1   2.72   2.37  13.4
2020  80  1 24   490.6   2.94   2.80  14.4
2020  80  1 25   490.6   2.94   2.80  14.4
2020  80  1 26   489.8   2.66   2.28  13.5
2020  80  1 27   489.6   2.65   2.28  13.5
2020  80  1 28   489.4   2.64   2.30  13.6
2020  80  1 29   489.4   2.64   2.26  13.4
2020  80  1 30 99999.9 999.99 999.99 999.9
2020  80  1 31 99999.9 999.99 999.99 999.9
2020  80  1 32   491.1   2.65   2.59  14.3
2020  80  1 33   489.5   2.59   2.17  13.1
2020  80  1 34   487.6   2.63   2.26  13.1
2020  80  1 35   485.9   2.64   2.30  13.2
2020  80  1 36   485.5   2.63   2.35  13.3
2020  80  1 37   485.5   2.63   2.33  13.3
2020  80  1 38   485.4   2.58   2.42  13.3
2020  80  1 39   485.4   2.58   2.37  13.2
2020  80  1 40   485.4   2.58   2.37  13.2
2020  80  1 41 99999.9 999.99 999.99 999.9
2020  80  1 42   482.4   2.62   2.45  13.4
2020  80  1 43   482.4   2.62   2.50  13.6
2020  80  1 44   482.4   2.62   2.48  13.5
2020  80  1 45 99999.9 999.99 999.99 999.9
2020  80  1 46   482.4   2.55   2.41  13.3
2020  80  1 47   482.4   2.55   2.44  13.4
2020  80  1 48   482.8   2.68   2.39  13.3
2020  80  1 49   482.7   2.75   2.51  13.7
2020  80  1 50   480.6   2.67   2.42  13.6
2020  80  1 51   480.6   2.67   2.42  13.6
2020  80  1 52 99999.9 999.99 999.99 999.9
2020  80  1 53   479.8   2.55   2.47  13.6
2020  80  1 54   479.9   2.57   2.54  13.8
2020  80  1 55   479.6   2.62   2.37  13.6
2020  80  1 56   476.0   2.58   2.81  14.2
2020  80  1 57   475.2   2.56   2.93  14.4
2020  80  1 58   476.3   2.64   2.95  14.4
2020  80  1 59   474.8   2.66   3.37  15.0
2020  80  2  0   475.2   2.71   3.34  14.8
2020  80  2  1   474.8   2.69   3.90  15.8
2020  80  2  2   476.9   2.67   4.32  16.8
2020  80  2  3   476.3   2.55   3.16  14.9
2020  80  2  4   476.9   2.50   2.90  14.5
2020  80  2  5   475.5   2.48   3.11  14.6
2020  80  2  6   474.8   2.48   3.49  15.4
2020  80  2  7   473.2   2.67   5.15  18.2
2020  80  2  8   474.2   2.66   4.76  17.6
2020  80  2  9   474.6   2.64   3.98  16.1
2020  80  2 10   471.9   2.58   3.78  15.6
2020  80  2 11   471.7   2.41   3.22  14.6
2020  80  2 12   471.7   2.41   2.95  14.0
2020  80  2 13   472.1   2.21   2.34  12.8
2020  80  2 14   472.1   2.21   2.34  12.8
2020  80  2 15 99999.9 999.99 999.99 999.9
2020  80  2 16   470.6   2.29   1.98  11.3
2020  80  2 17   471.2   2.38   1.49  10.0
2020  80  2 18   472.1   2.59   1.53  10.7
2020  80  2 19   471.6   2.52   1.49  10.6
2020  80  2 20   473.4   2.53   1.46  10.5
2020  80  2 21   468.2   2.29   1.83  11.5
2020  80  2 22   473.1   2.60   1.86  11.3
2020  80  2 23   473.5   2.63   1.80  11.2
2020  80  2 24   472.1   2.66   1.72  11.4
2020  80  2 25   473.6   2.70   1.95  11.8
2020  80  2 26   472.9   2.78   1.90  11.8
2020  80  2 27   472.0   2.80   1.93  12.0
2020  80  2 28   472.0   2.71   1.87  11.5
2020  80  2 29   471.1   2.82   2.06  11.9
2020  80  2 30   470.4   2.86   2.21  12.4
2020  80  2 31   472.1   2.74   2.13  12.0
2020  80  2 32   471.4   2.89   2.72  13.4
2020  80  2 33   473.8   2.80   3.01  14.0
2020  80  2 34   473.3   2.88   2.30  12.6
2020  80  2 35   470.6   2.89   2.40  12.6
2020  80  2 36   469.2   2.86   2.54  12.8
2020  80  2 37   470.6   2.72   2.44  12.6
2020  80  2 38   470.7   2.68   2.57  13.1
2020  80  2 39   471.1   2.74   2.22  12.2
2020  80  2 40   468.8   3.07   2.41  12.8
2020  80  2 41   473.1   2.59   2.39  12.7
2020  80  2 42   473.1   2.61   2.10  12.0
2020  80  2 43   467.7   3.03   2.38  12.7
2020  80  2 44   467.4   2.91   2.12  12.0
2020  80  2 45   468.5   2.88   2.12  12.1
