year DOY HR MN      v     d      beta     ma
2020  78  2  5   390.0   4.28   1.85   9.4
2020  78  2  6   389.9   4.30   1.95   9.5
2020  78  2  7   389.3   4.41   2.07   9.7
2020  78  2  8   386.5   4.47   2.23  10.0
2020  78  2  9   386.6   4.44   2.17   9.9
2020  78  2 10   384.2   4.60   2.20   9.9
2020  78  2 11   385.7   4.71   2.34  10.2
2020  78  2 12   385.9   4.63   2.27  10.1
2020  78  2 13   384.4   4.57   1.96   9.6
2020  78  2 14   387.6   4.61   2.07   9.7
2020  78  2 15 99999.9 999.99 999.99 999.9
2020  78  2 16   389.9   5.36   2.72  11.5
2020  78  2 17   387.4   5.10   2.95  11.7
2020  78  2 18   388.3   5.22   2.61  10.8
2020  78  2 19   390.1   5.42   2.58  10.7
2020  78  2 20   390.5   3.38   1.65   8.9
2020  78  2 21   390.9   3.98   1.92   9.4
2020  78  2 22   391.8   5.30   2.53  10.5
2020  78  2 23   391.9   3.64   1.50   8.6
2020  78  2 24   392.0   4.09   1.73   9.2
2020  78  2 25   392.0   4.44   1.76   9.3
2020  78  2 26   393.6   4.56   2.33   9.5
2020  78  2 27   393.6   4.56   2.36   9.5
2020  78  2 28   393.1   4.54   2.56  10.0
2020  78  2 29   389.1   4.36   1.73   9.2
2020  78  2 30   388.5   4.27   1.51   8.5
2020  78  2 31   387.2   4.02   1.38   8.1
2020  78  2 32   390.5   4.20   1.41   8.4
2020  78  2 33   390.5   4.20   1.36   8.2
2020  78  2 34   390.5   4.20   1.36   8.2
2020  78  2 35   388.8   3.86   1.25   7.8
2020  78  2 36   388.8   3.86   1.28   7.9
2020  78  2 37 99999.9 999.99 999.99 999.9
2020  78  2 38   390.0   4.56   1.76   8.8
2020  78  2 39   390.0   4.56   1.74   8.8
2020  78  2 40 99999.9 999.99 999.99 999.9
2020  78  2 41 99999.9 999.99 999.99 999.9
2020  78  2 42   381.4   4.79   1.82   8.8
2020  78  2 43   381.4   4.79   1.85   8.9
2020  78  2 44   381.4   4.79   1.99   9.2
2020  78  2 45   386.6   4.38   1.57   8.8
2020  78  2 46   384.6   4.76   2.28  10.2
2020  78  2 47   383.2   5.02   2.13   9.6
2020  78  2 48   387.0   4.45   1.84   9.2
2020  78  2 49   387.0   4.45   1.76   9.0
2020  78  2 50 99999.9 999.99 999.99 999.9
2020  78  2 51 99999.9 999.99 999.99 999.9
2020  78  2 52 99999.9 999.99 999.99 999.9
2020  78  2 53 99999.9 999.99 999.99 999.9
2020  78  2 54 99999.9 999.99 999.99 999.9
2020  78  2 55 99999.9 999.99 999.99 999.9
2020  78  2 56 99999.9 999.99 999.99 999.9
2020  78  2 57 99999.9 999.99 999.99 999.9
2020  78  2 58   388.0   4.38 999.99 999.9
2020  78  2 59   390.1   4.60   1.75   9.2
2020  78  3  0   398.0   5.42   2.10   9.8
2020  78  3  1   399.3   5.56   2.34  10.3
2020  78  3  2 99999.9 999.99 999.99 999.9
2020  78  3  3 99999.9 999.99 999.99 999.9
2020  78  3  4   391.5   4.20   1.47   8.7
2020  78  3  5   391.5   4.20   1.43   8.6
2020  78  3  6   397.2   5.31   2.45   9.9
2020  78  3  7   397.2   5.31   2.63  10.3
2020  78  3  8   397.2   5.31   2.85  10.7
2020  78  3  9   394.3   5.43   2.39  10.4
2020  78  3 10   394.1   5.28   2.39  10.5
2020  78  3 11   394.3   4.53   2.00   9.6
2020  78  3 12   396.6   4.73   2.28  10.0
2020  78  3 13   397.1   5.07   2.20  10.2
2020  78  3 14   396.9   4.92   2.23  10.0
2020  78  3 15   396.7   4.73   2.21   9.8
2020  78  3 16 99999.9 999.99 999.99 999.9
2020  78  3 17   400.0   4.48   2.17   9.6
2020  78  3 18   399.2   4.44   2.19   9.6
2020  78  3 19   397.1   4.69   2.33   9.8
2020  78  3 20   397.5   4.69   2.42   9.6
2020  78  3 21   395.3   4.92   2.43  10.0
2020  78  3 22   394.6   5.00   2.33   9.9
2020  78  3 23   398.0   4.95   2.33  10.1
2020  78  3 24   398.0   4.95   2.33  10.1
2020  78  3 25   398.0   4.95   2.40  10.3
2020  78  3 26   400.9   5.03   2.28  10.4
2020  78  3 27   400.7   5.03   2.41  10.7
2020  78  3 28   396.1   5.20   2.79  10.6
2020  78  3 29   396.1   5.17   2.88  10.8
2020  78  3 30   395.7   4.94   2.71  10.7
2020  78  3 31   394.0   5.02   2.36  10.4
2020  78  3 32   393.7   5.03   2.43  10.6
2020  78  3 33   391.9   5.03   2.10  10.4
2020  78  3 34   391.9   5.03   2.15  10.5
2020  78  3 35 99999.9 999.99 999.99 999.9
2020  78  3 36   395.8   5.14   2.79  10.6
2020  78  3 37   397.1   5.04   2.69  10.4
2020  78  3 38   399.0   4.91   2.60  10.3
2020  78  3 39   404.4   5.19   2.36  10.9
2020  78  3 40   404.4   5.19   2.25  10.7
2020  78  3 41   396.8   4.76   2.52  10.3
2020  78  3 42   396.8   4.76   2.40  10.1
2020  78  3 43   396.8   4.76   2.38  10.0
2020  78  3 44   396.4   5.17   2.60  10.7
2020  78  3 45   396.4   5.17   2.64  10.8
2020  78  3 46   396.4   5.17   2.72  10.9
2020  78  3 47 99999.9 999.99 999.99 999.9
2020  78  3 48   393.7   5.67   2.65  10.8
2020  78  3 49   393.7   5.67   2.69  10.9
2020  78  3 50 99999.9 999.99 999.99 999.9
2020  78  3 51 99999.9 999.99 999.99 999.9
2020  78  3 52   390.3   5.55   3.14  11.9
2020  78  3 53   391.2   5.51   3.09  11.8
2020  78  3 54   394.9   5.23   3.05  11.7
2020  78  3 55   392.3   5.29   2.99  11.6
2020  78  3 56   391.4   5.00   2.59  10.9
2020  78  3 57   391.4   5.00   2.73  11.2
2020  78  3 58   396.7   5.21   2.68  10.8
2020  78  3 59   397.6   5.26   2.85  11.0
2020  78  4  0   397.0   5.31   2.42  10.6
2020  78  4  1   400.9   5.22   2.16  10.6
2020  78  4  2   401.2   5.22   2.16  10.7
2020  78  4  3 99999.9 999.99 999.99 999.9
2020  78  4  4 99999.9 999.99 999.99 999.9
2020  78  4  5 99999.9 999.99 999.99 999.9
2020  78  4  6 99999.9 999.99 999.99 999.9
2020  78  4  7 99999.9 999.99 999.99 999.9
2020  78  4  8   393.4   5.02   2.53  10.5
2020  78  4  9   393.4   5.02   2.60  10.6
2020  78  4 10 99999.9 999.99 999.99 999.9
2020  78  4 11 99999.9 999.99 999.99 999.9
2020  78  4 12 99999.9 999.99 999.99 999.9
2020  78  4 13 99999.9 999.99 999.99 999.9
2020  78  4 14 99999.9 999.99 999.99 999.9
2020  78  4 15 99999.9 999.99 999.99 999.9
2020  78  4 16 99999.9 999.99 999.99 999.9
2020  78  4 17 99999.9 999.99 999.99 999.9
2020  78  4 18 99999.9 999.99 999.99 999.9
2020  78  4 19   393.6   5.28   2.72  10.7
2020  78  4 20   393.6   5.28   3.48  12.1
2020  78  4 21   395.4   4.91   2.75  11.8
2020  78  4 22   395.5   4.90   2.45  11.2
2020  78  4 23 99999.9 999.99 999.99 999.9
2020  78  4 24 99999.9 999.99 999.99 999.9
2020  78  4 25   392.0   5.46   2.94  12.0
2020  78  4 26   392.0   5.46   3.03  12.2
2020  78  4 27 99999.9 999.99 999.99 999.9
2020  78  4 28 99999.9 999.99 999.99 999.9
2020  78  4 29 99999.9 999.99 999.99 999.9
2020  78  4 30 99999.9 999.99 999.99 999.9
2020  78  4 31   392.8   5.34   3.43  12.5
2020  78  4 32   393.7   5.64   3.58  12.8
2020  78  4 33   394.0   5.76   3.55  12.7
2020  78  4 34 99999.9 999.99 999.99 999.9
2020  78  4 35 99999.9 999.99 999.99 999.9
2020  78  4 36   393.0   5.55   3.43  12.7
2020  78  4 37   393.6   5.48   3.28  12.4
2020  78  4 38   394.2   5.40   3.30  12.3
2020  78  4 39   393.2   5.46   3.15  12.1
2020  78  4 40   393.2   5.46   2.83  11.4
2020  78  4 41   394.7   5.27   2.73  11.4
2020  78  4 42   394.1   5.36   3.22  12.3
2020  78  4 43   392.8   5.65   3.64  12.7
2020  78  4 44   394.2   5.61   3.89  13.3
2020  78  4 45   393.0   5.61   4.15  13.7
2020  78  4 46   393.0   5.62   4.44  14.2
2020  78  4 47   394.5   5.69   3.44  12.6
2020  78  4 48   395.6   5.68   4.17  13.9
2020  78  4 49   395.6   5.68   3.45  12.6
2020  78  4 50   393.8   5.46   3.55  12.8
2020  78  4 51   393.6   5.50   3.63  12.9
2020  78  4 52   392.9   5.40   3.28  12.3
2020  78  4 53   391.9   5.47   3.25  12.2
2020  78  4 54   390.8   5.59   3.26  12.2
2020  78  4 55   390.9   5.73   3.80  13.1
2020  78  4 56   388.1   5.88   3.55  12.6
2020  78  4 57   388.1   5.88   3.77  13.0
2020  78  4 58   388.1   5.88   3.84  13.1
2020  78  4 59   385.1   5.86   4.16  13.4
2020  78  5  0   385.1   5.86   4.04  13.2
2020  78  5  1   388.9   5.51   3.42  12.6
2020  78  5  2   388.9   5.51   3.22  12.2
2020  78  5  3 99999.9 999.99 999.99 999.9
2020  78  5  4   389.5   5.57   3.14  12.3
2020  78  5  5   389.5   5.57   3.12  12.2
2020  78  5  6   391.8   5.28   2.85  11.7
2020  78  5  7   391.8   5.28   2.94  11.9
2020  78  5  8   391.9   5.53   3.31  12.3
2020  78  5  9   391.9   5.74   3.42  12.2
2020  78  5 10 99999.9 999.99 999.99 999.9
2020  78  5 11 99999.9 999.99 999.99 999.9
2020  78  5 12   387.6   5.43   2.91  11.6
2020  78  5 13   387.6   5.43   3.34  12.4
2020  78  5 14 99999.9 999.99 999.99 999.9
2020  78  5 15 99999.9 999.99 999.99 999.9
2020  78  5 16 99999.9 999.99 999.99 999.9
2020  78  5 17   387.1   5.65   2.91  11.4
2020  78  5 18   387.1   5.65   2.97  11.5
2020  78  5 19 99999.9 999.99 999.99 999.9
2020  78  5 20 99999.9 999.99 999.99 999.9
2020  78  5 21   386.7   5.71   4.76  14.2
2020  78  5 22   387.8   5.63   4.51  14.0
2020  78  5 23   389.5   5.51   4.42  14.1
2020  78  5 24 99999.9 999.99 999.99 999.9
2020  78  5 25 99999.9 999.99 999.99 999.9
2020  78  5 26 99999.9 999.99 999.99 999.9
2020  78  5 27 99999.9 999.99 999.99 999.9
2020  78  5 28 99999.9 999.99 999.99 999.9
2020  78  5 29 99999.9 999.99 999.99 999.9
2020  78  5 30   388.9   5.28   4.09  13.3
2020  78  5 31   388.2   5.30   4.38  13.7
2020  78  5 32   386.2   5.37   4.33  13.4
2020  78  5 33   386.2   5.37   4.06  13.0
2020  78  5 34 99999.9 999.99 999.99 999.9
2020  78  5 35 99999.9 999.99 999.99 999.9
2020  78  5 36   392.4   5.26   2.96  12.2
2020  78  5 37   389.2   5.36   3.62  12.7
2020  78  5 38   387.9   5.40   3.44  12.6
2020  78  5 39   387.7   5.38   3.36  12.2
2020  78  5 40   389.5   5.20   3.02  11.9
2020  78  5 41   387.3   5.32   3.34  12.5
2020  78  5 42   388.4   5.36   3.17  12.2
2020  78  5 43   388.0   5.21   3.35  12.5
2020  78  5 44   387.9   5.21   3.39  12.5
2020  78  5 45   389.5   5.24   3.24  12.3
2020  78  5 46 99999.9 999.99 999.99 999.9
2020  78  5 47   389.8   5.61   3.57  13.0
2020  78  5 48   393.6   5.42   3.37  12.8
2020  78  5 49   394.4   5.19   3.19  12.5
2020  78  5 50   386.7   5.08   3.04  11.9
2020  78  5 51   384.4   5.38   3.43  12.2
2020  78  5 52   390.9   5.37   3.17  12.1
2020  78  5 53   387.4   5.15   2.90  11.4
2020  78  5 54   389.8   4.99   2.84  11.4
2020  78  5 55   395.4   5.06   2.74  11.7
2020  78  5 56   389.3   5.25   2.78  11.5
2020  78  5 57   388.4   5.30   3.43  12.7
2020  78  5 58   397.0   5.32   3.38  13.1
2020  78  5 59   397.0   5.32   3.46  13.2
2020  78  6  0 99999.9 999.99 999.99 999.9
2020  78  6  1 99999.9 999.99 999.99 999.9
2020  78  6  2   398.9   5.38   3.68  13.4
2020  78  6  3   398.9   5.38   3.68  13.4
2020  78  6  4 99999.9 999.99 999.99 999.9
2020  78  6  5 99999.9 999.99 999.99 999.9
2020  78  6  6 99999.9 999.99 999.99 999.9
2020  78  6  7 99999.9 999.99 999.99 999.9
2020  78  6  8   384.4   4.92   3.71  12.0
2020  78  6  9   384.4   4.92   3.51  11.7
2020  78  6 10   384.4   4.92   3.40  11.5
2020  78  6 11 99999.9 999.99 999.99 999.9
2020  78  6 12 99999.9 999.99 999.99 999.9
2020  78  6 13   381.4   5.16   3.22  11.5
2020  78  6 14   381.4   5.16   3.26  11.5
2020  78  6 15   381.4   5.16   3.28  11.6
2020  78  6 16 99999.9 999.99 999.99 999.9
2020  78  6 17   383.1   5.25   3.09  11.4
2020  78  6 18   383.1   5.25   3.13  11.5
2020  78  6 19   383.1   5.25   3.18  11.5
2020  78  6 20 99999.9 999.99 999.99 999.9
2020  78  6 21 99999.9 999.99 999.99 999.9
2020  78  6 22   380.2   4.69   2.50  10.5
2020  78  6 23   380.2   4.69   2.46  10.4
2020  78  6 24 99999.9 999.99 999.99 999.9
2020  78  6 25 99999.9 999.99 999.99 999.9
2020  78  6 26   382.0   5.29   3.24  11.7
2020  78  6 27   382.0   5.29   3.15  11.6
