year DOY HR MN      v     d      beta     ma 
2018  75  2  6   486.0   5.91   1.84  10.4
2018  75  2  7   481.0   5.20   1.40   9.5
2018  75  2  8   482.8   5.45   1.41   9.5
2018  75  2  9   487.5   6.13   1.47   9.6
2018  75  2 10   482.2   5.28   1.10   8.7
2018  75  2 11   482.2   5.28   1.17   8.9
2018  75  2 12   476.7   5.41   1.20   8.9
2018  75  2 13   476.8   5.69   1.35   9.2
2018  75  2 14   478.6   6.28   1.47   9.3
2018  75  2 15   477.9   5.32   1.11   8.6
2018  75  2 16   477.9   5.32   1.14   8.7
2018  75  2 17   479.5   5.47   1.37   9.1
2018  75  2 18   479.2   5.49   1.41   9.3
2018  75  2 19   476.3   5.63   1.44   9.4
2018  75  2 20   478.8   5.17   1.14   8.6
2018  75  2 21   479.8   5.00   1.07   8.4
2018  75  2 22 99999.9 999.99 999.99 999.9
2018  75  2 23 99999.9 999.99 999.99 999.9
2018  75  2 24   476.1   5.80   1.75  10.0
2018  75  2 25   474.9   5.83   1.80  10.1
2018  75  2 26   473.1   4.97   1.34   9.2
2018  75  2 27   473.1   4.96   1.38   9.4
2018  75  2 28   473.1   4.96   1.42   9.5
2018  75  2 29   465.4   5.75   1.82   9.9
2018  75  2 30   465.5   5.75   1.59   9.3
2018  75  2 31   480.3   5.10   1.13   8.8
2018  75  2 32   481.9   4.80   0.92   8.1
2018  75  2 33   482.8   4.62   0.86   8.0
2018  75  2 34   483.1   5.36   1.25   9.2
2018  75  2 35   483.1   5.36   1.26   9.2
2018  75  2 36   478.8   4.89   1.13   8.2
2018  75  2 37   477.6   4.69   0.86   7.5
2018  75  2 38   475.6   4.45   0.77   7.4
2018  75  2 39   477.0   4.51   0.76   7.4
2018  75  2 40   479.4   4.60   0.78   7.5
2018  75  2 41   484.0   4.46   0.74   7.4
2018  75  2 42   484.4   4.45   0.75   7.5
2018  75  2 43   477.6   4.58   0.76   7.4
2018  75  2 44   479.6   4.78   0.82   7.7
2018  75  2 45   482.4   5.06   0.88   7.9
2018  75  2 46   478.5   4.87   0.83   7.7
2018  75  2 47   478.5   4.87   0.82   7.7
2018  75  2 48   478.2   4.98   0.87   7.9
2018  75  2 49   480.6   5.00   0.91   8.0
2018  75  2 50   484.1   5.00   0.91   8.0
2018  75  2 51   489.6   6.13   1.30   9.2
2018  75  2 52   487.7   5.25   1.00   8.4
2018  75  2 53   487.0   4.90   0.89   8.0
2018  75  2 54 99999.9 999.99 999.99 999.9
2018  75  2 55   475.6   4.82   0.76   7.4
2018  75  2 56   475.0   4.97   0.82   7.6
2018  75  2 57   474.6   5.05   0.86   7.7
2018  75  2 58   477.4   5.27   0.89   7.8
2018  75  2 59   487.3   4.91   0.83   7.7
2018  75  3  0   489.6   4.85   0.91   8.1
2018  75  3  1   489.5   5.03   1.09   8.4
2018  75  3  2   486.9   4.80   0.80   7.6
2018  75  3  3   485.8   5.00   0.87   7.8
2018  75  3  4   484.8   5.22   0.97   8.1
2018  75  3  5   478.5   5.68   0.98   8.2
2018  75  3  6   478.5   5.68   0.97   8.2
2018  75  3  7   465.6   5.34   1.01   7.7
2018  75  3  8   465.6   5.34   0.98   7.6
2018  75  3  9   473.0   5.14   0.84   7.5
2018  75  3 10   475.3   5.25   0.88   7.7
2018  75  3 11   476.4   4.89   0.79   7.3
2018  75  3 12   476.5   4.83   0.80   7.3
2018  75  3 13   475.8   4.87   0.83   7.3
2018  75  3 14   474.8   5.00   0.81   7.3
2018  75  3 15   473.9   5.11   0.84   7.4
2018  75  3 16   473.4   5.55   1.00   7.7
2018  75  3 17   473.3   5.53   0.90   7.3
2018  75  3 18   472.0   5.12   0.92   7.3
2018  75  3 19   474.9   5.56   1.03   7.7
2018  75  3 20   475.4   5.64   1.05   7.7
2018  75  3 21   471.2   5.14   0.91   7.3
2018  75  3 22   471.2   5.14   0.89   7.2
2018  75  3 23   468.2   4.55   0.80   6.9
2018  75  3 24   468.2   4.55   0.85   7.1
2018  75  3 25   473.0   4.12   0.63   6.4
2018  75  3 26   473.5   4.11   0.64   6.5
2018  75  3 27   467.8   4.85   0.90   7.0
2018  75  3 28   468.5   4.42   0.73   6.6
2018  75  3 29   468.6   4.37   0.67   6.4
2018  75  3 30   468.4   4.76   0.83   6.9
2018  75  3 31   468.6   4.92   0.88   7.2
2018  75  3 32   468.9   5.15   0.96   7.6
2018  75  3 33   468.8   5.05   1.00   7.6
2018  75  3 34   470.4   5.36   1.05   8.0
2018  75  3 35   471.5   5.62   1.06   8.2
2018  75  3 36   470.3   5.83   1.23   8.6
2018  75  3 37   474.2   5.67   1.12   8.5
2018  75  3 38   474.8   5.66   1.10   8.3
2018  75  3 39   476.5   5.66   1.30   8.9
2018  75  3 40   476.5   5.66   1.33   9.1
2018  75  3 41   479.9   5.73   1.26   9.0
2018  75  3 42   480.1   5.40   1.06   8.5
2018  75  3 43   481.5   5.08   1.02   8.5
2018  75  3 44   484.6   5.99   1.31   9.2
2018  75  3 45   482.6   5.12   1.05   8.2
2018  75  3 46   478.9   5.40   1.03   8.2
2018  75  3 47   474.8   5.73   0.92   7.9
2018  75  3 48   474.8   5.73   0.92   7.9
2018  75  3 49   464.4   5.57   1.07   7.6
2018  75  3 50   465.0   5.51   1.06   7.5
2018  75  3 51   465.6   5.44   1.29   8.2
2018  75  3 52   479.4   4.98   1.04   8.2
2018  75  3 53   472.8   5.43   1.26   8.5
2018  75  3 54   476.3   5.28   1.26   8.7
2018  75  3 55   479.1   4.99   1.10   8.5
2018  75  3 56   479.0   4.94   1.10   8.6
2018  75  3 57 99999.9 999.99 999.99 999.9
2018  75  3 58 99999.9 999.99 999.99 999.9
2018  75  3 59   474.1   5.20   1.40   9.3
2018  75  4  0   470.5   5.57   1.28   8.6
2018  75  4  1   478.0   5.40   1.24   8.9
2018  75  4  2   478.9   5.34   1.14   8.7
2018  75  4  3   480.5   4.95   0.97   8.1
2018  75  4  4   480.5   4.95   1.03   8.3
